% Model:              12 Spun pile_transient_multilayer_model verificaiton 3-2.mph
% Version:            COMSOL 6.2.0.339
% Date:               Jan 13 2025, 14:10
% Dimension:          1
% Nodes:              169
% Expressions:        5
% Description:        Point graph
% Time (h)                Temperature              Temperature              Temperature              Temperature              Temperature
0                         29.033009318310462       29.003953701744308       29.00449661022128        29.004667296327227       29.002393183568017
1                         33.40572965338691        30.945122921948553       30.892779627804885       31.06979135672293        30.838283290764764
2                         33.947081969104545       31.452643299710587       31.428859569298652       31.588916369358913       31.386382716096477
3                         34.24191183675333        31.72780064743904        31.709683103254747       31.865757699311416       31.671369227592663
4                         34.506556578177936       31.975810406126357       31.963347635474634       32.11601441236843        31.928707895384946
5                         34.6752174911681         32.13749521425348        32.130650926606904       32.2817363354049         32.09813088354906
6                         34.843878404158204       32.29918002238071        32.297954217739175       32.44745825844126        32.26755387171306
7                         35.01253931714831        32.46086483050789        32.46525750887133        32.613180181477674       32.43697685987712
8                         35.14767167089889        32.59090408260886        32.60010995015398        32.746511021942354       32.57357659600302
9                         35.24630977235233        32.68649864242673        32.69964117488195        32.84458569970991        32.67444977339039
10                        35.34494787380572        32.78209320224448        32.799172399609915       32.942660377477466       32.77532295077776
11                        35.44358597525917        32.877687762062294       32.898703624337884       33.04073505524508        32.876196128165134
12                        35.54222407671256        32.973282321880106       32.99823484906585        33.138809733012636       32.977069305552504
13                        35.640862178166          33.06887688169792        33.097766073793764       33.236884410780135       33.07794248293982
14                        35.73950027961945        33.16447144151573        33.197297298521676       33.33495908854775        33.178815660327245
15                        35.838138381072895       33.26006600133354        33.296828523249644       33.433033766315305       33.279688837714616
16                        35.89836414292938        33.319749365600615       33.357353496674534       33.49388831245801        33.340681713281356
17                        35.95690513484533        33.3778576604127         33.416167651118144       33.553110379048405       33.39992543390372
18                        36.015446126761276       33.435965955224674       33.47498180556187        33.61233244563874        33.45916915452602
19                        36.07398711867722        33.49407425003676        33.53379596000542        33.671554512229136       33.518412875148385
20                        36.13252811059317        33.55218254484885        33.592610114449144       33.73077657881947        33.57765659577069
